Code,Title,Size,Style,Country,Group,Available,Price (inc VAT),Price (ex-VAT),Link
HED10024,Glenkinchie 12 Year Old,70cl,Spirits,Scotland,Whisky,2,41.5,33.2,http://default/product/glenkinchie-12-year-old-whisky
HED10031,Talisker Storm,70cl,Spirits,Scotland,Whisky,12,44.9,35.92,http://default/product/talisker-storm-whisky
HED10049,Teeling Small Batch,70cl,Spirits,Ireland,Whiskey,4,38.0,30.4,http://default/product/teeling-small-batch-whiskey
HED10070,Martell Cordon Bleu in Baccarat Decanter,70cl,Spirits,France,Cognac,1,1475.0,1180.0,http://default/product/martell-cordon-bleu-baccarat-decanter-cognac
HED10213,Glenlossie 10 Year Old Flora and Fauna,70cl,Spirits,Scotland,Whisky,6,63.2,50.56,http://default/product/glenlossie-10-year-old-flora-and-fauna-whisky
HED10218,Four Roses Single Barrel,70cl,Spirits,United States,Whiskey,13,46.5,37.2,http://default/product/four-roses-single-barrel-whiskey
HED10219,Four Roses Small Batch,70cl,Spirits,United States,Whiskey,6,33.7,26.96,http://default/product/four-roses-small-batch-whiskey
HED10238,Ducastaing Armagnac Bernard VII,75cl,Spirits,France,Armagnac,2,190.0,152.0,http://default/product/ducastaing-armagnac-bernard-vii-armagnac
HED10241,Marc de Bourgogne Heritiers Guyot,75cl,Spirits,France,Brandy,1,160.0,128.0,http://default/product/marc-de-bourgogne-heritiers-guyot
HED10266,Briottet Liqueur de Rhubarb,70cl,Spirits,France,"Liqueurs, Bitters & Other",2,23.0,18.4,http://default/product/briottet-liqueur-de-rhubarb
HED10323,Lagavulin 21 Year Old Cask Stength 1985,70cl,Spirits,Scotland,Whisky,1,3995.0,3196.0,http://default/product/lagavulin-21-year-old-cask-stength-1985-whisky
HED10372,CLIX Vodka,75cl,Spirits,United States,Vodka,24,384.0,307.2,http://default/product/clix-vodka
HED10373,Colonel EH Taylor Small Batch,75cl,Spirits,United States,Whiskey,69,95.0,76.0,http://default/product/colonel-eh-taylor-small-batch-whiskey
HED10381,Gin Mare,70cl,Spirits,Spain,Gin,8,45.0,36.0,http://default/product/gin-mare
HED10382,Redbreast 15 Year Old,70cl,Spirits,Ireland,Whiskey,3,84.9,67.92,http://default/product/redbreast-15-year-old-whiskey
HED10471,Shochikubai Shirakabegura Mio Sparkling Sake,30cl,Spirits,Japan,Sake,20,12.1,9.68,http://default/product/shochikubai-shirakabegura-mio-sparkling-sake
HED10472,Shochikubai Shirakabegura Daiginjo Muroka Genshu,64cl,Spirits,Japan,Sake,16,34.9,27.92,http://default/product/shochikubai-shirakabegura-daiginjo-muroka-genshu
HED10506,St Germain Elderflower Liqueur,70cl,Spirits,France,"Liqueurs, Bitters & Other",1,31.6,25.28,http://default/product/st-germain-elderflower-liqueur
HED10514,Aberlour 16 Year Old,70cl,Spirits,Scotland,Whisky,8,110.0,88.0,http://default/product/aberlour-16-year-old-whisky
HED10534,Johnnie Walker Double Black,70cl,Spirits,Scotland,Whisky,14,37.5,30.0,http://default/product/johnnie-walker-double-black-whisky
HED10571,Ardbeg 24 Year Old (Bottled 2001) 1977,70cl,Spirits,Scotland,Whisky,2,1495.0,1196.0,http://default/product/ardbeg-24-year-old-bottled-2001-1977-whisky
