code,title,size,style,country,type,availability,price_gbp
HED23754,Quinta da Fonte Souto Branco 2021,75cl,White,Portugal,Portugal,7.0,22.799999237060547
HED23805,Frontonio Parcela La Tejera 2020,75cl,Red,Spain,Spain,11.0,82.5999984741211
HED23828,Vosne Romanee Clos des Reas Michel Gros 2021,75cl,Red,France,Burgundy,9.0,155.0
HED23937,Valpolicella Allegrini 2022,75cl,Red,Italy,Italy,3.0,17.0
HED23944,Ribolla Gialla Primosic 2022,75cl,White,Italy,Italy,3.0,22.5
HED23946,Picaro del Aguila Tinto 2021,75cl,Red,Spain,Spain,27.0,36.900001525878906
HED93465,Won Mae Plum Wine Half,37.5cl,Spirits,"Korea, Republic of","Liqueurs, Bitters & Other",12.0,19.5
HED93484,Ornellaia 2020,75cl,Red,Italy,Italy,33.0,225.0
HED23985,Philipponnat Royale Reserve Rose Brut 2019,75cl,Rose,France,Champagne,2.0,48.900001525878906
HED93680,Brunello di Montalcino Il Poggione 2018,75cl,Red,Italy,Italy,103.0,53.20000076293945
HED24047,Stark Conde Field Blend 2021,75cl,White,South Africa,South Africa,6.0,27.700000762939453
HED24049,Natte Valleij Axle Chenin Blanc 2022,75cl,White,South Africa,South Africa,5.0,26.899999618530273
HED24053,Kistler Russian River Pinot Noir 2021,75cl,Red,United States,USA,22.0,120.0
HED24084,Canevel Valdobbiadene Setage Extra Dry 2022,75cl,White,Italy,Italy,18.0,27.200000762939453
HED24100,Casa Ferreirinha Vinha Grande Tinto 2020,75cl,Red,Portugal,Portugal,3.0,15.0
HED24112,Chianti Classico Brolio Ricasoli 2021,75cl,Red,Italy,Italy,19.0,20.299999237060547
HED46720,Beso Concentrado de Agave Syrup 2/5/25,75cl,Other,Mexico,Water & Mixers,2.0,22.0
HED24127,D`Esclans Garrus Rose 2021,75cl,Rose,France,Regional France,28.0,125.0
HED93848,Poggio Alle Fate Chardonnay Castello di Albola 2021,75cl,White,Italy,Italy,4.0,27.399999618530273
HED93854,Primitivo Fanoi Cantele 2019,75cl,Red,Italy,Italy,11.0,45.900001525878906
HED93919,Masseria del Pino SuperLuna 2020,75cl,Rose,Italy,Italy,2.0,50.0
HED93985,La Servil Monastrell Bodegas Cerron Stratum Wines 2021,75cl,Red,Spain,Spain,3.0,32.70000076293945
HED24174,Chateauneuf du Pape Vaudieu Closerie 2021,75cl,Red,France,Southern Rhone,12.0,29.700000762939453
HED94046,Cote Rotie Jamet 2020,75cl,Red,France,Northern Rhone,8.0,190.0
HED24198,Gavi dei Gavi La Scolca Half 2022,37.5cl,White,Italy,Italy,9.0,24.399999618530273
HED24201,CVNE Monopole Clasico Rioja Blanco 2019,75cl,White,Spain,Spain,2.0,28.600000381469727
HED24202,Vouvray Sec Francois et Julien Pinon 2022,75cl,White,France,Loire,3.0,26.600000381469727
HED24234,Vino della Stella Fiano Joaquin 2020,75cl,White,Italy,Italy,3.0,50.0
HED21179,Glenturret 10 Year Old Peat Smoked (2023 Release),70cl,Spirits,Scotland,Whisky,8.0,67.0
HED24265,Bodega Colome Estate Malbec 2021,75cl,Red,Argentina,Argentina,3.0,26.399999618530273
HED94236,Sea Smoke Cellars Chardonnay 2020,75cl,White,United States,USA,12.0,128.0
HED21210,Bardstown Bourbon Co Wheated Bourbon Bottled in Bond,75cl,Spirits,United States,Whiskey,6.0,64.9000015258789
HED94396,Santa Rita Floresta Cabernet Sauvignon 2021,75cl,Red,Chile,Chile,30.0,25.899999618530273
HED94403,Livio Felluga Friulano 2022,75cl,White,Italy,Italy,6.0,37.599998474121094
HED94524,Y de Yquem 2021,75cl,White,France,Bordeaux,2.0,200.0
HED24386,Egon Muller Scharzhofberger Riesling Kabinett 2022,75cl,White,Germany,Germany,16.0,205.0
HED24396,Devaux D Millesime 2012,75cl,White,France,Champagne,2.0,75.8499984741211
HED24446,Chapel Down Kit`s Coty Bacchus 2021,75cl,White,England,England,7.0,28.100000381469727
HED94789,Clos de Vougeot Jean Grivot 1996,75cl,Red,France,Burgundy,4.0,326.0
HED94872,Lagrange 1990,75cl,Red,France,Bordeaux,4.0,150.0
HED95159,Beaune Cuvee Hugues et Louis Betault Hospices de Beaune Roux 1995,75cl,Red,France,Burgundy,5.0,79.9000015258789
HED46896,Johnett 10 Year Old Single Malt 2012,70cl,Spirits,Switzerland,Whisky,6.0,59.0
HED46903,Glenfarclas 26 Year Old Oloroso Sherry Finish,70cl,Spirits,Scotland,Whisky,48.0,240.0
HED24533,Les Cailloux du Paradis L`Icaunais Claude Courtois 2019,75cl,Red,France,Loire,8.0,48.0
HED24591,Macon Loche Chrisalys Perraton 2021,75cl,White,France,Burgundy,15.0,19.5
HED95621,Percarlo San Giusto a Rentennano 2004,75cl,Red,Italy,Italy,7.0,156.0
HED95631,Eugenio Rosi 18Diciannove20 Cabernet Franc,75cl,Red,Italy,Italy,7.0,55.0
HED95639,Salt Rock La Nina Semillon Gris 2022,75cl,White,South Africa,South Africa,4.0,25.0
HED24626,Navatalgordo Comando G 2022,75cl,Red,Spain,Spain,14.0,49.79999923706055
HED24663,Seresin Chiaroscuro 2022,75cl,White,New Zealand,New Zealand,6.0,36.099998474121094
HED24674,Rosso di Montalcino Vermiglio Costanti 2020,75cl,Red,Italy,Italy,9.0,67.30000305175781
HED95749,Etna Rosso Feudo di Mezzo Terre Nere 2021,75cl,Red,Italy,Italy,6.0,45.0
HED21419,Mannochmore 15 Year Old Infrequent Flyers 2008,70cl,Spirits,Scotland,Whisky,10.0,88.0
HED95772,Fixin Clos du Chapitre Gelin & Molin 1983,75cl,Red,France,Burgundy,7.0,84.9000015258789
HED23650,Fixin Meo Camuzet Frere & Soeurs 2021,75cl,Red,France,Burgundy,4.0,55.0
HED23654,Corton Benjamin Leroux 2021,75cl,Red,France,Burgundy,5.0,182.0
HED23839,Marani Kindzmarauli 2021,75cl,Red,Georgia,Georgia,13.0,14.600000381469727
HED24021,Anysbos Disdit 2021,75cl,White,South Africa,South Africa,5.0,28.700000762939453
HED24087,Gusbourne Still Rose 2022,75cl,Rose,England,England,4.0,26.399999618530273
HED24428,Vendange Tardive Riesling Hugel Half 2013,37.5cl,White,France,Alsace,2.0,32.20000076293945
HED24564,Henri Giraud Argonne 2015,75cl,White,France,Champagne,5.0,440.0
HED24697,Churchill`s Crusted Port 2012,75cl,Red,Portugal,Port ,6.0,34.0
HED24708,Boekenhoutskloof The Chocolate Block 2022,75cl,Red,South Africa,South Africa,21.0,24.700000762939453
HED24711,Masut Chardonnay 2021,75cl,White,United States,USA,6.0,42.29999923706055
HED21425,Lagavulin Distiller`s Edition (2022 Release),70cl,Spirits,Scotland,Whisky,7.0,85.0
HED24734,Contino Reserva 2019,75cl,Red,Spain,Spain,13.0,23.0
HED95923,Domaine des Tourelles Marquis Des Beys Rouge 2018,75cl,Red,Lebanon,Lebanon,5.0,28.0
HED95930,Domaine de Chevalier 1998,75cl,Red,France,Bordeaux,5.0,100.0
HED24791,Cottanera Rosso 2021,75cl,Red,Italy,Italy,10.0,26.899999618530273
HED95990,Ulysse Collin Les Pierrieres 2009,75cl,White,France,Champagne,3.0,550.0
HED96004,Tignanello Magnum 2020,150cl,Red,Italy,Italy,44.0,330.0
HED47016,Springbank 25 Year Old Fresh Sherry Hogshead Starkicker 1998,70cl,Spirits,Scotland,Whisky,2.0,1350.0
HED24819,Nielson Chardonnay 2021,75cl,White,United States,USA,3.0,35.5
HED24826,Grossi Laue Riesling Hugel 2014,75cl,White,France,Alsace,2.0,70.5
HED96137,Alheit Fire By Night 2022,75cl,White,South Africa,South Africa,20.0,50.0
HED24842,Errazuriz Las Pizarras Pinot Noir 2018,75cl,Red,Chile,Chile,5.0,86.19999694824219
HED24834,Cote de Brouilly Daniel Bouland 2022,75cl,Red,France,Burgundy,6.0,28.899999618530273
HED24863,Pulenta Gran Malbec 2020,75cl,Red,Argentina,Argentina,6.0,48.20000076293945
HED47040,Barrell Dovetail,75cl,Spirits,United States,Whiskey,2.0,95.0
HED96381,Bourgogne Chardonnay Ballot Millot 2020,75cl,White,France,Burgundy,11.0,30.0
HED21578,The Angels` Share,0cl,Other,United Kingdom,Books,6.0,10.0
HED96383,CVNE Imperial Gran Reserva 1994,75cl,Red,Spain,Spain,6.0,160.0
