code,title,size,style,country,type,availability,price_gbp,import_date,url
HED46276,Glenfarclas 12 Year Old,70cl,Spirits,Scotland,Whisky,3.0,47.7,2024-03-28,https://hedonism.co.uk/product/glenfarclas-12-year-old-whisky
HED46273,Tamdhu Cigar Malt II,70cl,Spirits,Scotland,Whisky,5.0,195.0,2024-03-28,https://hedonism.co.uk/product/tamdhu-cigar-malt-ii-whisky
HED46233,Longmorn 8 Year Old Carn Mor Strictly Limited 2013,70cl,Spirits,Scotland,Whisky,2.0,46.0,2024-03-28,https://hedonism.co.uk/product/longmorn-8-year-old-carn-mor-strictly-limited-2013-whisky
HED46226,Strathmill 25 Year Old (2014 Release),70cl,Spirits,Scotland,Whisky,5.0,259.0,2024-03-28,https://hedonism.co.uk/product/strathmill-25-year-old-(2014-release)-whisky
HED46124,Highland Park 15 Year Old Viking Heart,70cl,Spirits,Scotland,Whisky,4.0,62.0,2024-03-28,https://hedonism.co.uk/product/highland-park-15-year-old-viking-heart-whisky
HED46000,The Tops 33 Year Old Blended Speyside Malt House of Hazelwood Legacy Collection,70cl,Spirits,Scotland,Whisky,2.0,1450.0,2024-03-28,https://hedonism.co.uk/product/the-tops-33-year-old-blended-speyside-malt-house-of-hazelwood-legacy-collection-whisky
HED45943,Ardbeg Ardcore,70cl,Spirits,Scotland,Whisky,18.0,75.0,2024-03-28,https://hedonism.co.uk/product/ardbeg-ardcore-whisky
HED45927,Talisker 25 Year Old,70cl,Spirits,Scotland,Whisky,3.0,460.0,2024-03-28,https://hedonism.co.uk/product/talisker-25-year-old-whisky
HED45872,Balvenie 12 Year Old Sweet Toast of American Oak,70cl,Spirits,Scotland,Whisky,4.0,56.0,2024-03-28,https://hedonism.co.uk/product/balvenie-12-year-old-sweet-toast-of-american-oak-whisky
HED45872,Balvenie 12 Year Old Sweet Toast of American Oak,70cl,Spirits,Scotland,Whisky,7.0,45.9,2024-03-28,https://hedonism.co.uk/product/balvenie-12-year-old-sweet-toast-of-american-oak-whisky
HED45869,Balvenie 16 Year Old French Oak,70cl,Spirits,Scotland,Whisky,13.0,122.0,2024-03-28,https://hedonism.co.uk/product/balvenie-16-year-old-french-oak-whisky
HED45868,Tamdhu 18 Year Old,70cl,Spirits,Scotland,Whisky,3.0,135.0,2024-03-28,https://hedonism.co.uk/product/tamdhu-18-year-old-whisky
HED45806,Royal Salute 38 Year Old Stone of Destiny,70cl,Spirits,Scotland,Whisky,3.0,1500.0,2024-03-28,https://hedonism.co.uk/product/royal-salute-38-year-old-stone-of-destiny-whisky
HED45724,Rampur Asava,70cl,Spirits,India,Whisky,3.0,64.9,2024-03-28,https://hedonism.co.uk/product/rampur-asava-whisky
HED45664,Springbank 25 Year Old 2022 Release,70cl,Spirits,Scotland,Whisky,2.0,1895.0,2024-03-28,https://hedonism.co.uk/product/springbank-25-year-old-2022-release-whisky
HED45478,Glen Grant 10 Year Old,70cl,Spirits,Scotland,Whisky,4.0,34.9,2024-03-28,https://hedonism.co.uk/product/glen-grant-10-year-old-whisky
HED45476,Kyro Wood Smoke Rye,70cl,Spirits,Finland,Whisky,4.0,58.0,2024-03-28,https://hedonism.co.uk/product/kyro-wood-smoke-rye-whisky
